question,answer
"8년차아파트매매중3월10일이 잔금일이고퇴거후에 저희가 내부청소라도 하려면 3천을 먼저달라고하셨고, 중도금 미입금시 한발짝도출입불가라고하심3월5일 퇴거하신다고해서6일에 3천을 중도금으로 주고 도배,청소등을 진행하기로했습니다.중개사분은 6일부터 저희가 자유롭게 쓰는거니관리비를 6일부터 내면된다고 하시는데 맞는건지 궁금합니다.","질문하신 상황에서 3월 6일부터 내부 사용을 시작하셨다면, 그날부터 관리비를 부담하는 것이 일반적인 원칙에 가깝습니다. 이유는 다음과 같습니다. 관리비는 ‘점유일’ 기준으로 발생소유권 이전일이 아닌, 실제 사용(점유) 시점부터 관리비 납부 의무가 발생합니다.3월 6일부터 도배·청소 등 실제 공간을 점유하고 사용하셨기 때문에, 해당일로부터 관리비를 납부하는 게 타당합니다. 중개사 말은 실무적으로도 맞는 편중도금을 일부 지급하고 공간에 자유롭게 출입하며 사용하는 경우, 실사용자로 간주되어 관리비 납부 책임이 발생합니다. 단, 계약서 특약에 ‘잔금일까지 관리비는 매도인 부담’이라고 명시되어 있다면, 해당 특약이 우선 적용됩니다. 이 부분을 다시 한 번 확인해보시는 것이 좋아요. 아파트 관리비는 언제부터 누구에게 발생하는지, 절약할 수 있는 팁까지 알고 싶다면 아래에서 확인해보세요. 아파트 관리비 설명과 할인 방법, 여기서 확인하세요아파트 관리비 절약 방법 보러가기 제3자로서는 정확히 답변할 수 없는 내용입니다.​매도인, 중개사에게 확인해 보아야 할 것입니다.관리사무소도 이해 당사자가 아니므로 답변하지 않을 것입니다.​애매하다면, 매도인에게 확인서를 받든지 계약서를 수정해서라도 분명하게 결정하는게 바람직합니다.​ 어느정도 중심이 잡힌 내용이라고 생각됩니다인도는 잔금이 다이루어져야하는데 사정상 미리 인테리어 보수를 위해 비밀번호받아 사용한다면 전기수도가스 등 사용료는 내야할듯합니다 협의해서 문서등 증거를 확보해놓는것이 좋겠습니다"
입찰시입찰보증보험증권서를 제출하면입찰보증금은 따로 내지 않는 건가요?입찰보증금도 내고입찰보증보험도 들어아햐는건가요?,"입찰 보증보험증권이있다는 말만 들었지..그동안 경매하면서 한번도 이용해본적은 없습니다.​입찰보증금과 보증서 둘중하나만 하시면 됩니다.​좋은결과있으시길바랍니다..^^; 증권서는 입찰금 대신에 내는 것입니다.​ 안녕하세요! 소비자만족지수1위 입찰정보사이트 아이건설넷입니다.​입찰보증금과 보험증권이 궁금하시군요!​입찰 후 정당한 이유없이 체약체결을 회피하는 것을 방지하기 위해!입찰자가 일정금액을 납부하고 입찰에 참가하도록 하는 입찰보증금은~현금, 지급각서, 보증서 3가지 형태를 보입니다. 보통 입찰 진행 시 현금, 지급각서, 보증서 중 1가지를 요구합니다. 조달청에서 집행하는 입찰의 경우 특별한 예외상황*이 없다면! 보증금을 『현금』으로 직접 받지 않고, 전자입찰 진행 시 『지급각서』로 대체하거나, 발주기관에 따라 『보증서』로 대체합니다. *예외사항: 부정당업자 제재를 받고 제재기간 종료일이 입찰 공고일로부터 최근 2년 이내인 경우​ 문의주신 보증금의 경우 현금이나 보증보험이나 같은 기능을 하고 있기에 한번에 두가지를 모두 제출하실 필요는 없습니다. 입찰에 참여하시려는 공고문을 잘 살펴보시고 진행하시되, 선택할 수 있다면 참여하실 때 더 편한 쪽으로 진행하시면 됩니다.​전자입찰, 적격심사 등추가적으로 궁금하신 부분은 아이건설넷에 방문해 주시거나아이건설넷 대표전호(1644-3270)로 연락 주신다면 친절하게 상담 도와드리겠습니다^^.오늘도 보내세요~ ​ 안녕하세요. 입찰정보사이트 인포21c입니다.입찰 후 계약체결을 보장받기 위한 물적 담보로서 입찰보증금은 현금 또는 보증서 등으로 선택하여 납부하게 되어 있습니다.입찰보증보험증권을 제출하였다면 입찰보증금을 납부한 완료되어 현금으로 이중 납부 하지 않으셔도 됩니다. 입찰보증금 면제 : 「지방계약법 시행령」 제37조 제3항, 「 국가계약법 시행령」 제37조 제3항에 각호에 해당하는 경우 입찰보증금 납부를 확약하는 내용이 포함된 입찰서 제출로 납부를 갈음하는 경우가 있어 공고문의 입찰보증금 납부 내용을 확인해 보시기 바랍니다. ​인포사이트에 접속하시면 보다 많은 입찰정보를 확인할 수 있습니다. 입찰의 모든 것을 알고 싶을 때! 가입상담[1544-2785]"
곧 결혼하는 남자친구명의로 전세사기 당한집이 있는데 보증보험을 들어놔서 돈 받고 지금은 아파트 이사후 살고있어요그런데 미얀마 여자애랑 결혼하고 1년반동안 연락두절 된 남친 동생이 아이까지 낳고 부모님께 찾아왔어요튈땐 2-3천 가져갓다더니 여행다니구 쳐노는데 다 쓰고30짜리 월세방에서 애 키우고 있더래요부모님들은 자식이라고 불쌍했는지 지금 비어있는경매중인 전 전세집에 들어가 살라고 하시더라구요?무슨 말도안되는 소린가 했는데진짜 살고 있네요;;이게 걸리면 법적으로 남친한테 문제 없는걸까요?맘같아선 신고하고싶은데시부모님 될분들이 너무.. 불쌍해 하셔서..(근데 존나 하나도 안불쌍함 2-3천 되는 돈 노느라 다쓰고 정부지원금 꼬박꼬박 받으면서 그돈으로도 살아진다며 일도 안함)나중에 걸렸을 때 저희에게 피해만 없음 전 상관없는데왠지 불안해서요 전기 가스도 돈 내고 쓰고있는듯 하네요,"​불법 거주 시 법적 문제 발생 가능성 있습니다.남친에게도 영향을 미칠 수 있으니 신중하세요.​ ​경매 중인 집에 불법거주하면 법적 문제가 발생할 수 있습니다.남친에게 직접적인 영향을 줄 수 있어 신중해야 합니다.​ 지금 집은 남친분은 보증금을 받고 퇴거하셨으니 남친분과는 상관은 없지만...경매진행후 낙찰되어 소유권이 변경될때까지는 전세사기를 일으킨 전소유자의 소유입니다.​그집 비밀번호등을 알려주셨다면 남친분에게 피해가 있을수도 있습니다.​남친분은 재산권을 행사할 권리가 없습니다..​신중히 선택하시기를 바랍니다.​​ 경매 넘어가면 경매로 구매한 사람의 소유가 됩니다.남자친구 동생분 내외는 불법거주자로 인정되고법원에 의해서 퇴거명령을 받게되며 불이행시 강제집행을 받게됩니다.강제집행을 받게되면 법원 관계자와 경찰들과 소유자가 방문하여집안에 있는 모든 짐들을 집 밖으로 꺼내고 그 집에 못들어가게 문도 잠가버립니다.남자친구분의 부모님이 동생분 내외를 그 집에 들어가서 살게 말씀하셨다해도결국 남자친구분의 명의였으니 피해는 남자친구분께 돌아갈 수 있습니다. 만약 걸렸을 때 남자친구에게 피해가 없다고 하더라도, 여러 가지 문제가 생​"
2개월미납이 거절되는거아닌가요?,"월세 1개월 미납으로 갱신 거절 사유가 될 수 있어요~! 2개월 이상 미납 시 거절될 수 있어요~! 1개월 미납, 1가지 사유만으로는 거절하지 못해도임대인이 계약갱신을 거절할 수 있는 사유는 여러가지입니다.​다음은 법령에 열거된 사유입니다.1. 임차인이 2기의 차임액에 해당하는 금액에 이르도록 차임을 연체한 사실이 있는 경우2. 임차인이 거짓이나 그 밖의 부정한 방법으로 임차한 경우3. 서로 합의하여 임대인이 임차인에게 상당한 보상을 제공한 경우4. 임차인이 임대인의 동의 없이 목적 주택의 전부 또는 일부를 轉貸한 경우5. 임차인이 임차한 주택의 전부 또는 일부를 고의나 중대한 과실로 파손한 경우6. 임차한 주택의 전부 또는 일부가 멸실되어 임대차의 목적을 달성하지 못할 경우7. 임대인이 다음 각 목의 어느 하나에 해당하는 사유로 목적 주택의 전부 또는 대부분을 철거하거나 재건축하기 위하여 목적 주택의 점유를 회복할 필요가 있는 경우가. 임대차계약 체결 당시 공사시기 및 소요기간 등을 포함한 철거 또는 재건축 계획을 임차인에게 구체적으로 고지하고 그 계획에 따르는 경우나. 건물이 노후ㆍ훼손 또는 일부 멸실되는 등 안전사고의 우려가 있는 경우다. 다른 법령에 따라 철거 또는 재건축이 이루어지는 경우8. 임대인(임대인의 직계존속ㆍ직계비속을 포함한다)이 목적 주택에 실제 거주하려는 경우9. 그 밖에 임차인이 임차인으로서의 의무를 현저히 위반하거나 임대차를 계속하기 어려운 중대한 사유가 있는 경우"
"원룸에 살고 있는데 최근에 201호 세입자가 엘레베이터 벽에 세입자인데 집주인이 전세보증금 1억원을 안 주고 있다고 경매 신청하겠다고 전세 사는 사람이나 자기와 같은 피해자 있으면 연락해달라고 펜으로 손글씨로 써서 붙여놨는데, 저는 계속 살 생각이 조금은 있어서 연락을 하지 않고 있었습니다. 그런데 어제 옆집에 공실인데 법원 안내문이 붙어있길래 내용을 읽어보니 아래와 같습니다. 아래사 건 : 2025타경00000 부동산임의(강제)경매채권자 : ㅇㅇㅇ, 소유자(채무자겸소유자) : ㅇㅇㅇ위 사건에 대하여 귀하가 사용(점유)하고 있는 부동산이 ㅇㅇ지방법원에 경매가 신청되어 법원의 명령에 따라 ㅇㅇ지방법원 소속 집행관이 부동산의 현황, 점유관계, 차임 또는 보증금의 액수, 그 밖의 현황 등을 조사하기 위해서 방문하였으나 귀하를 만나지 못 하여 안내문을 드리오니 소유자 및 임차인, 점유자께서는 궁금한 사항이 있으시면 아래 연락처로 문의하여 주시기 바랍니다.참고로 귀하가 소액임차인 또는 확정일자를 받은 임차인일 때에는 다음 서류를 첨부하여 ㅇㅇ지방법원 경매4계 ((031)000-0000)에 배당요구종기일(2025.04.16.)까지 권리신고 및 배당요구 신청서를 제출하셔야만 법률의 규정에 따른 보호를 받으실수 있음을 알려 드립니다.다음1. 해당 부동산에 전입한 일자가 기재된 주민등록표(등)초본(주소변동사항포함) 1통 2. 임대차계약서(전·월세 계약서) 사본 1통☞ 계약서상에 확정일자를 받은 경우에는 그 확정일자가 선명하게 나오도록사본하여 주시고, 상가, 공장 등인 경우 관할 세무서 발행의 '상가건물 임대차 현황서'를 함께 첨부하여 주시기 바랍니다.3. 해당 부동산이 다가구가 거주하는 건물인 경우 건물의 내부구조와 점유부분을 표시한 도면☞ 도면은 면적 등이 정확히 나타날 필요는 없고, 임차인의 점유부분을 특정할 수 있을 정도로 표시하면 됩니다.임차인의 경우 위 서류의 제출이 없으면 ㅇㅇ지방법원 담당 경매계로부터 임차인통지서 및 경매진행상황을 통지 받으실 수 없는 등의 불이익을 받을 수 있습니다. ""권리신고 및 배당요구 신청서"" 양식은 법원에 비치되어 있으며, 대법원 홈페이지 ( 전자민원센터/ 양식모음 메뉴에서 출력하여 사용할 수도 있습니다.정확한 배당요구 종기일과 권리신고 및 배당요구신청에 관한 자세한 내용은 법원경매정보 홈페이지 ( 게시자료를 참고하시 거나 또는 ㅇㅇ지방법원 민사 집행(신청)과 경매4계 전화 (031)000-0000로 문의 하시기 바랍니다.ㅇㅇ지방법원 집행관 사무소ㅇㅇ시 ㅇㅇ구 문의전화 000-0000.제가 살고 있는 집이 경매 넘어간다면 보증금 받을 수 있는지 궁금합니다. 그리고 어떻게 위 내용에 대해 어떻게 대처해야 할지 질문 드립니다.",많은 설명이 필요합니다. 길게 설명하기 보다는인근 중개업소를 찾아 상담 받으라고 권합니다.​​
시골에 농지를 가지고 있는데 주위 토지가 얼마전에 거래가 됐더라구요. 어느부동산에서 거래가 된건지 알수있는 방법이 있을까요?가질 않아서 아는사람도 없어서 어디 물어볼곳이 없더라구요,안녕하세요?​인터넷에서 검색등으로거래한 부동산을 찾을수는 없습니다​​​행정사 공인중개사 농지오케이 윤세영
"매매목록 거래가액에 적힌 금액이 건물을 인수하면서 기존 근저당을 인수한 경우,인수한 근저당 금액도 매매목록의 거래가액에 포함되나요?아니면 매매목록 거래가액 + 인수근저당 금액 이렇게 계산해야 실제 건물 구매가인가요?매매목록의 거래가액에 따라 세금이 메겨지는 형태라면 기존 임차인들 전세금과 근저당까지 다 포함한 건물가격을 명시해야 할 거 같은데 뭐가 맞는 건지 잘 모르겠네요..집주인이 명시한 매매목록의 거래가액은 좀 낮게 써져있는 거 같아서요.써둔 느낌이라서요feeling, sense, sensation; (예감) hunch",*.당연히 포함입니다/인수는매수자에게 안좋은 경우 입니다 예를 들어 보겠습니다매매가가 10억 입니다 (여기에 매도자 대출이 5억원이 껴 있습니다)​이 부동산을 채무승계를 받아 매수를 합니다그럼 실제 매매가가 15억원입니까? 아니지 않습니까?실제 매매가는 10억원 입니다 (그중에 5억원 대출을 인수 한 것이죠)이렇게 되면 자기자본 5억원으로 매수를 한 것이 되는 것이지매매가는 10억원이 맞는 겁니다​ 질문자가 뭔가 이해를 잘 못하고 있는 것으로 보입니다.인근 부동산이라도 들러서 직접 면담해 보기를 권합니다.​​
1.형에게 증여받은 빌라를 2년후 매도시 매도금액이 초기 취득시가나 증여시가보다 낮으면 양도소득세가 발생하지 않는게 맞는가요? 2.매도시 1억5천 정도의 빌라 두개를 소유한것때문에 (본인소유.증여받은것) 다주택자로 해당되는 다른세금이 발생하는것이 있나요?,"*.-.증여/이월과세기간 10년적용으로*.매수가를 형이 매수한가격적용으로 양도세 발생합니다 양도소득세는 양도차액이 없다면 발생하지 않습니다.​​ 안녕하세요..​이월과세는 부모와 자녀지간과 배우자간인 경우에만 적용되고,형제지간에는 이월과세의 적용을 받지 아니합니다.​그리하여 증여가액(취득가액)보다 낮은 가액으로 양도하는 경우에는 양도차익이 발생하지 아니하여 양도소득세는 과세되지 아니합니다.​물론, 기존 빌라를 보유하고 있는 상태에서 새로운 빌라를 증여받은 경우에는1세대2주택에 해당됩니다."
"아버지 묘가 속해있는 밭을,35년전 어머니께서 도시로 올라오면서 가지고계신 산을 팔고 올라가셨습니다어머니 재산은 아버지께 상속을 받은 논, 밭, 산이 있었고 논은 벼농사를 져서꼭 필요하고 밭은 아버지묘가 있어서 밭을 남겨놓았습니다그래서 밭은 남겨놓고 산을 동네사돈어르신께팔았습니다사돈어르신 형제끼리 공동3인지분을 나누어서 등기를 하셨습니다중간에 지분이 바껴 2인, 매형외 1인으로 바꼈더군요 (질문은 35년전과 후에 밭 등기에 아버지묘가 속해 있는걸로 알고 있는데 얼마전에 밭등기확인해보니 묘자리는 밭등기에 속해 있질 안고 매매한 산 지번등기에 속해 있씀)질문 드릴내용을 안지는 얼마전알았는데 밭이 옆집땅에 속해있다고땅주인이 측량점을 박고 흙파기 작업을해놔서 황당해서 밭 지적도를 보게 됐고아버지 묘가 팔은 임야에 겹쳐 속해 있는걸 알았습니다그동안 35년동안 아버지묘는 밭에속해있고 더불어 저희땅으로 속해있는걸로 저도 어머니도 알고있었는데저희어머니가 아버지 묘를 팔은거나마찬가지가 됐습니다.그런데 이번에 매형한테 연락을 했더니이런 사실을 언제부터인지 몰라도진작 알고 있었습니다.혹시 매매당시 등기하면서 지적도도면을 보고 땅에 이런 모양등.내용을 진작 알았을수도 있습니다. 이런저런 안따지고내가 사겠다고 분할해달라고 했는데지분이 나뉘어 도장받을려면 힘들다고 안해줍니다저희 어머니께서 잘못 팔은건데,(아버지묘까지 팔은건데)그 당시는 그런 행정업무 보기도 힘들고 지적도를 확인안하고 팔은 저희쪽실수입니다.그런데 팔면서 당사자끼리 산에 경계부분을 다 말씀 드렸고 묘와 밭이 우리소유인걸 알고 밭은 35년동안 사돈어르신이도지로 사용을했고 임대료는아버지묘 벌초 해주는걸로 쭉 해오셨습니다.이 땅을 되돌려 받을수 있을까요?","*.묘지는 토지지상권,<분묘기지권>이 있어 사돈이 마음대로 못합니다 *.분할못하면 그대로 둡니다"
벌레나 음식냄새 걱정 없울까요?,"1층 2층이 어떤 상가냐에 따라서 다르겠죠 중화반점이나 레스토랑 뷔페 노래방이냐 소음이 심한가 안심한가에 따라서 살기가 좋은지 잘 생각 해보고요 ​식당쪽인데 환풍기가 없는 허가가 안된 가게에서 요식업을 하는 가게인지도 알아보고요 우리나라는 생각보다 단속이 심하지 않아서 허가가 안된 가게에서 특정 식당 영업을 하는 경우가 많아요 그렇다고 이걸 신고하기도 그렇고 애매하죠 상황에 따라서 다르고 생각이 되네요 어떤가게냐에서 따라서 살기가 좋을수도 있구요 매매라면 한번 더 생각하셔야 합니다.물론, 관리 등 조건에 따라서 호/불호의 차이가 큰 데 . . .아무래도 매매이다 보니나중에 팔 것도 생각해야 겠습니다.주변의 여러 분들 얘기도 들어 보기 권합니다.​그럼. . ."
